person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
24,female,Bachelor,7905400%,100%,RENT,3250000%,HOMEIMPROVEMENT,999%,41%,3,700,No,100%
21,female,Bachelor,1498800%,0%,OTHER,400000%,EDUCATION,1284%,27%,2,553,No,100%
21,male,High School,1485800%,0%,OWN,200000%,MEDICAL,1112%,13%,3,589,No,100%
25,male,Bachelor,14485500%,100%,RENT,3200000%,VENTURE,662%,22%,2,586,Yes,0%
26,male,Bachelor,11464500%,200%,RENT,3105000%,HOMEIMPROVEMENT,1417%,27%,3,681,No,100%
25,female,High School,36811500%,300%,RENT,2425000%,DEBTCONSOLIDATION,1385%,7%,3,567,Yes,0%
26,female,Associate,36107600%,100%,MORTGAGE,780000%,MEDICAL,1349%,2%,4,669,No,0%
21,male,Associate,1515000%,0%,OWN,250000%,EDUCATION,751%,17%,4,600,No,100%
22,female,Bachelor,5886800%,0%,RENT,3000000%,EDUCATION,1839%,51%,2,606,No,100%
24,male,High School,7802600%,300%,RENT,3000000%,DEBTCONSOLIDATION,1454%,38%,3,582,No,100%
25,male,Bachelor,9078500%,400%,RENT,3000000%,HOMEIMPROVEMENT,1689%,33%,4,649,No,100%
23,female,High School,8681100%,0%,RENT,3000000%,DEBTCONSOLIDATION,1101%,35%,4,602,No,100%
26,male,Bachelor,7550300%,500%,RENT,3000000%,MEDICAL,1799%,40%,2,616,No,100%
24,female,High School,1508200%,0%,OWN,250000%,VENTURE,1269%,17%,3,631,No,100%
26,male,Bachelor,36129300%,500%,MORTGAGE,2000000%,VENTURE,788%,6%,4,684,Yes,0%
23,male,High School,36154700%,0%,OWN,2425000%,EDUCATION,1941%,7%,2,637,Yes,0%
26,male,Master,36068000%,500%,OWN,1000000%,HOMEIMPROVEMENT,1038%,3%,4,649,No,0%
26,male,Bachelor,36097700%,500%,MORTGAGE,2500000%,EDUCATION,1533%,7%,3,695,Yes,0%
25,female,Bachelor,36124400%,200%,MORTGAGE,1800000%,HOMEIMPROVEMENT,1645%,5%,3,620,No,0%
26,male,Bachelor,9823000%,200%,RENT,3000000%,PERSONAL,749%,31%,3,622,No,100%
22,female,High School,8083800%,0%,RENT,3000000%,MEDICAL,1269%,37%,3,645,No,100%
26,male,Master,10795700%,200%,RENT,3000000%,DEBTCONSOLIDATION,662%,28%,3,654,No,100%
24,female,Bachelor,9464900%,200%,RENT,3000000%,DEBTCONSOLIDATION,1101%,32%,4,624,No,100%
23,male,High School,9455000%,100%,RENT,3000000%,DEBTCONSOLIDATION,1862%,32%,3,570,No,100%
23,male,Bachelor,11115300%,300%,RENT,3000000%,PERSONAL,1523%,27%,3,648,No,100%
23,female,Associate,11725000%,0%,RENT,3000000%,VENTURE,1065%,26%,2,652,No,100%
25,male,Bachelor,14498500%,300%,RENT,3000000%,EDUCATION,790%,21%,4,559,No,0%
26,male,High School,33713300%,700%,RENT,1000000%,PERSONAL,1596%,3%,3,623,Yes,0%
26,male,Associate,33356600%,200%,RENT,2000000%,VENTURE,1148%,6%,3,602,Yes,0%
23,male,Bachelor,33339900%,100%,OWN,3500000%,PERSONAL,1101%,10%,4,609,No,0%
25,male,Master,15479300%,100%,RENT,3000000%,PERSONAL,729%,19%,4,573,Yes,0%
24,male,Associate,1522900%,100%,OWN,175000%,VENTURE,1101%,11%,3,631,Yes,0%
21,female,Bachelor,15833800%,0%,RENT,3000000%,VENTURE,599%,19%,4,623,Yes,0%
22,female,Bachelor,33103400%,0%,OWN,1200000%,VENTURE,1158%,4%,2,602,Yes,0%
26,female,High School,31646600%,600%,MORTGAGE,1000000%,EDUCATION,1101%,3%,4,579,No,100%
25,female,Associate,26767100%,0%,MORTGAGE,2500000%,MEDICAL,1570%,9%,2,582,No,100%
22,male,Master,8519100%,0%,RENT,2910000%,EDUCATION,1599%,34%,3,700,No,100%
22,male,Associate,1501300%,0%,MORTGAGE,150000%,EDUCATION,1484%,10%,3,688,No,0%
26,male,Bachelor,31310000%,300%,OWN,2800000%,HOMEIMPROVEMENT,1099%,9%,3,607,Yes,0%
25,female,Bachelor,31195200%,0%,MORTGAGE,2000000%,HOMEIMPROVEMENT,1442%,6%,2,661,Yes,0%
24,male,High School,30689700%,500%,MORTGAGE,960000%,EDUCATION,699%,3%,2,562,Yes,0%
25,female,Bachelor,30113600%,0%,RENT,2500000%,MEDICAL,1349%,8%,4,664,Yes,0%
25,male,High School,1516200%,100%,OWN,300000%,MEDICAL,1101%,20%,3,564,No,100%
22,male,Associate,6904200%,0%,RENT,2800000%,MEDICAL,1101%,41%,2,598,No,100%
21,female,High School,1530700%,0%,OWN,300000%,EDUCATION,1361%,20%,3,557,No,100%
23,female,Associate,7918300%,0%,RENT,2800000%,EDUCATION,790%,35%,2,677,No,100%
26,male,Bachelor,10265400%,400%,RENT,2800000%,VENTURE,749%,27%,3,690,No,100%
26,male,Associate,1522900%,100%,OWN,610000%,EDUCATION,751%,40%,3,599,No,100%
22,male,High School,10656600%,0%,RENT,2800000%,VENTURE,991%,26%,3,604,No,100%
21,female,Bachelor,1525200%,0%,OWN,420000%,PERSONAL,1348%,28%,4,663,No,100%
22,male,Bachelor,1543200%,300%,OWN,475000%,DEBTCONSOLIDATION,714%,31%,2,601,No,100%
24,male,High School,10033200%,100%,RENT,2800000%,VENTURE,1599%,28%,4,634,No,100%
24,male,Bachelor,30095100%,200%,RENT,1800000%,EDUCATION,1298%,6%,3,671,No,0%
144,male,Bachelor,30061600%,12500%,RENT,480000%,VENTURE,1357%,2%,3,789,No,0%
25,female,Bachelor,12106200%,100%,RENT,2800000%,DEBTCONSOLIDATION,1269%,23%,3,622,No,0%
26,male,Associate,13337200%,100%,RENT,2800000%,EDUCATION,890%,21%,2,538,Yes,0%
26,male,Bachelor,1550500%,0%,OWN,270000%,DEBTCONSOLIDATION,1101%,17%,4,587,No,100%
22,male,Master,13085200%,0%,RENT,2800000%,EDUCATION,1101%,21%,4,683,No,100%
23,male,Associate,18231600%,0%,RENT,2800000%,DEBTCONSOLIDATION,1111%,15%,2,634,Yes,0%
24,female,Bachelor,8385300%,300%,RENT,2760000%,HOMEIMPROVEMENT,1101%,33%,2,690,No,100%
21,female,Bachelor,1539400%,0%,MORTGAGE,325000%,DEBTCONSOLIDATION,1568%,21%,3,518,No,100%
22,female,Bachelor,8524300%,0%,RENT,2750000%,EDUCATION,1306%,32%,3,583,No,100%
22,male,Associate,28890700%,200%,OWN,2500000%,PERSONAL,1101%,9%,2,617,Yes,0%
26,male,Associate,8907400%,400%,RENT,2705000%,VENTURE,1562%,30%,2,668,No,100%
24,male,Master,10050900%,200%,RENT,2700000%,PERSONAL,1349%,27%,2,673,No,100%
24,male,High School,8895000%,300%,RENT,2700000%,VENTURE,1101%,30%,3,706,No,100%
23,female,High School,7589400%,100%,RENT,2600000%,MEDICAL,1171%,34%,2,536,No,100%
23,male,Associate,14509200%,0%,RENT,2560000%,EDUCATION,1269%,18%,3,557,Yes,0%
24,female,Bachelor,1592800%,100%,OWN,160000%,MEDICAL,1357%,10%,3,689,Yes,0%
22,male,Bachelor,7313100%,300%,RENT,2547500%,VENTURE,1099%,35%,3,681,No,100%
25,male,Master,28150100%,400%,MORTGAGE,2000000%,MEDICAL,1427%,7%,4,623,Yes,0%
24,female,Associate,28177500%,0%,OWN,2000000%,HOMEIMPROVEMENT,888%,7%,4,595,Yes,0%
26,male,Bachelor,28179200%,100%,MORTGAGE,2160000%,HOMEIMPROVEMENT,1218%,8%,3,584,Yes,0%
25,male,Bachelor,26609000%,400%,MORTGAGE,1190000%,DEBTCONSOLIDATION,1442%,4%,3,669,No,100%
26,male,High School,27966400%,300%,MORTGAGE,2500000%,MEDICAL,1417%,9%,2,642,Yes,0%
25,female,High School,27701700%,400%,MORTGAGE,3500000%,MEDICAL,1399%,13%,4,622,Yes,0%
23,male,Associate,10075600%,0%,RENT,2530000%,EDUCATION,1099%,25%,3,689,No,100%
22,male,High School,1621800%,100%,MORTGAGE,200000%,PERSONAL,542%,12%,4,614,No,100%
25,female,Bachelor,1621100%,200%,OWN,175000%,PERSONAL,1361%,11%,3,597,Yes,0%
21,female,Bachelor,5192200%,300%,RENT,2500000%,EDUCATION,1273%,48%,3,673,No,100%
24,male,Associate,5030900%,300%,RENT,2500000%,HOMEIMPROVEMENT,1101%,50%,3,625,No,100%
25,male,High School,1637800%,0%,OWN,300000%,DEBTCONSOLIDATION,1287%,18%,4,603,No,100%
24,male,Bachelor,1657200%,0%,MORTGAGE,365000%,HOMEIMPROVEMENT,991%,22%,3,589,No,100%
26,male,Master,27220100%,500%,MORTGAGE,2000000%,HOMEIMPROVEMENT,1149%,7%,4,670,Yes,0%
25,female,Bachelor,27132400%,300%,MORTGAGE,3000000%,HOMEIMPROVEMENT,1991%,11%,2,637,Yes,0%
26,male,Associate,25686200%,200%,MORTGAGE,3500000%,EDUCATION,1065%,14%,2,643,No,100%
24,male,High School,27134200%,0%,RENT,600000%,MEDICAL,1101%,2%,4,508,Yes,0%
24,male,High School,1647000%,200%,MORTGAGE,450000%,DEBTCONSOLIDATION,1183%,27%,4,643,No,100%
23,male,High School,1659900%,0%,OWN,240000%,DEBTCONSOLIDATION,1349%,14%,2,505,No,100%
22,male,Bachelor,5160800%,0%,RENT,2500000%,MEDICAL,1459%,48%,2,593,No,100%
26,female,Master,5851600%,600%,RENT,2500000%,EDUCATION,964%,43%,4,686,No,100%
25,female,Associate,1639500%,400%,OWN,360000%,MEDICAL,1459%,22%,3,646,No,100%
22,female,Bachelor,1689000%,0%,OWN,475000%,EDUCATION,1101%,28%,3,645,No,100%
25,female,Associate,5174700%,300%,RENT,2500000%,EDUCATION,1635%,48%,3,697,No,100%
21,male,High School,5986400%,0%,RENT,2500000%,EDUCATION,1099%,42%,2,648,No,100%
25,male,Master,27097200%,100%,MORTGAGE,2500000%,VENTURE,1867%,9%,2,640,Yes,0%
26,male,Bachelor,27087000%,500%,RENT,300000%,EDUCATION,932%,1%,4,681,No,0%
23,female,Associate,27072900%,0%,RENT,750000%,DEBTCONSOLIDATION,863%,3%,2,646,No,0%
26,male,Bachelor,27087700%,400%,MORTGAGE,2500000%,VENTURE,1008%,9%,2,615,Yes,0%
22,male,Associate,6050100%,0%,RENT,2500000%,PERSONAL,1183%,41%,3,687,No,100%
23,male,High School,6075400%,100%,RENT,2500000%,DEBTCONSOLIDATION,790%,41%,3,650,No,100%
25,male,Bachelor,6082900%,0%,RENT,2500000%,HOMEIMPROVEMENT,599%,41%,2,588,No,100%
24,male,Bachelor,5382500%,200%,RENT,2500000%,DEBTCONSOLIDATION,1533%,46%,2,652,No,100%
23,male,High School,6080100%,0%,RENT,2500000%,VENTURE,1183%,41%,4,658,No,100%
22,male,High School,6074700%,0%,RENT,2500000%,VENTURE,1036%,41%,2,634,No,100%
22,female,High School,6102900%,0%,RENT,2500000%,VENTURE,1223%,41%,3,623,No,100%
22,female,Associate,6323600%,0%,RENT,2500000%,EDUCATION,1111%,40%,4,635,No,100%
23,female,Bachelor,1714900%,0%,OWN,495000%,DEBTCONSOLIDATION,790%,29%,4,531,No,100%
24,female,Master,26506600%,400%,MORTGAGE,2500000%,EDUCATION,1158%,9%,2,665,Yes,0%
23,male,Associate,26020500%,200%,MORTGAGE,2100000%,DEBTCONSOLIDATION,890%,8%,3,703,No,0%
25,female,Associate,26003500%,500%,MORTGAGE,2500000%,EDUCATION,1607%,10%,3,585,Yes,0%
26,female,Bachelor,26044400%,400%,MORTGAGE,2000000%,EDUCATION,1422%,8%,2,594,No,0%
23,male,Bachelor,25898000%,0%,MORTGAGE,3500000%,MEDICAL,1479%,14%,3,618,Yes,0%
26,male,High School,25908100%,200%,MORTGAGE,1200000%,EDUCATION,788%,5%,2,626,Yes,0%
23,male,High School,6349700%,0%,RENT,2500000%,PERSONAL,1322%,39%,2,695,No,100%
26,female,Doctorate,5632500%,200%,RENT,2500000%,DEBTCONSOLIDATION,1186%,44%,4,690,No,100%
22,male,Bachelor,6484200%,0%,RENT,2500000%,EDUCATION,1343%,39%,4,574,No,100%
26,female,High School,5785600%,0%,RENT,2500000%,HOMEIMPROVEMENT,1528%,43%,2,602,No,100%
23,male,Associate,5731800%,0%,RENT,2500000%,VENTURE,1793%,44%,2,679,No,100%
23,female,High School,1691600%,200%,MORTGAGE,140000%,EDUCATION,925%,8%,4,615,No,0%
21,male,Master,1666400%,0%,OWN,450000%,VENTURE,1298%,27%,4,601,No,100%
22,male,Associate,25280300%,0%,MORTGAGE,1600000%,VENTURE,1062%,6%,4,577,Yes,0%
26,female,Associate,25306100%,300%,OWN,2200000%,PERSONAL,1183%,9%,4,588,Yes,0%
26,male,Bachelor,5860200%,800%,RENT,2500000%,VENTURE,1843%,43%,2,595,No,100%
22,male,High School,6701200%,200%,RENT,2500000%,EDUCATION,1101%,37%,4,653,No,100%
24,female,Master,6664300%,300%,RENT,2500000%,HOMEIMPROVEMENT,1101%,38%,4,663,No,100%
23,male,Bachelor,6659900%,0%,RENT,2500000%,EDUCATION,1136%,38%,3,653,No,100%
23,male,Associate,6721200%,200%,RENT,2500000%,EDUCATION,1565%,37%,3,598,No,100%
24,female,High School,6691800%,100%,RENT,2500000%,PERSONAL,1322%,37%,4,630,No,100%
26,male,Associate,6806600%,200%,RENT,2500000%,DEBTCONSOLIDATION,1287%,37%,2,637,No,100%
24,male,Associate,24554500%,100%,OWN,2000000%,MEDICAL,1304%,8%,3,660,Yes,0%
23,male,Associate,22908300%,0%,MORTGAGE,2200000%,EDUCATION,1758%,10%,3,639,No,100%
23,male,High School,1785900%,0%,OWN,775000%,PERSONAL,1704%,43%,4,626,No,100%
24,female,Associate,7260800%,300%,RENT,2500000%,PERSONAL,1099%,34%,3,612,No,100%
24,male,Bachelor,7307300%,100%,RENT,2500000%,PERSONAL,1111%,34%,3,628,No,100%
26,female,Master,6588000%,200%,RENT,2500000%,DEBTCONSOLIDATION,1483%,38%,2,592,No,100%
23,male,High School,1775500%,100%,OWN,400000%,DEBTCONSOLIDATION,1101%,23%,3,580,No,100%
24,male,Bachelor,24118000%,300%,RENT,1200000%,MEDICAL,1269%,5%,2,634,No,0%
24,male,Associate,24089400%,300%,MORTGAGE,1200000%,HOMEIMPROVEMENT,1349%,5%,2,678,No,0%
21,male,High School,24098000%,0%,MORTGAGE,1600000%,EDUCATION,1465%,7%,4,557,Yes,0%
25,male,Bachelor,6574200%,300%,RENT,2500000%,HOMEIMPROVEMENT,1682%,38%,4,672,No,100%
23,male,Bachelor,7271300%,0%,RENT,2500000%,PERSONAL,1273%,34%,3,613,No,100%
23,male,High School,7262700%,300%,RENT,2500000%,PERSONAL,1025%,34%,4,566,No,100%
21,male,Associate,7284300%,0%,RENT,2500000%,EDUCATION,1099%,34%,4,718,No,100%
25,male,High School,7550400%,400%,RENT,2500000%,MEDICAL,1273%,33%,2,484,No,100%
22,female,High School,6882400%,0%,RENT,2500000%,HOMEIMPROVEMENT,1496%,36%,3,634,No,100%
23,female,Bachelor,24116700%,200%,MORTGAGE,2800000%,EDUCATION,1101%,12%,2,653,Yes,0%
21,male,Bachelor,24106000%,0%,MORTGAGE,2500000%,DEBTCONSOLIDATION,1399%,10%,2,699,No,0%
24,male,High School,24085500%,0%,MORTGAGE,2400000%,VENTURE,749%,10%,4,656,Yes,0%
26,male,High School,24103000%,300%,MORTGAGE,1500000%,EDUCATION,1479%,6%,3,626,Yes,0%
25,male,High School,24089500%,200%,MORTGAGE,1550000%,DEBTCONSOLIDATION,1199%,6%,2,659,No,0%
24,female,High School,24093200%,400%,RENT,1000000%,EDUCATION,849%,4%,4,604,Yes,0%
24,male,Associate,8014500%,100%,RENT,2500000%,EDUCATION,991%,31%,2,636,No,100%
22,male,Master,8030300%,0%,RENT,2500000%,EDUCATION,1306%,31%,3,554,No,100%
22,male,High School,24104800%,0%,MORTGAGE,900000%,DEBTCONSOLIDATION,617%,4%,4,587,Yes,0%
144,male,Associate,24142400%,12100%,MORTGAGE,600000%,EDUCATION,1186%,2%,2,807,No,0%
25,male,Bachelor,24100500%,400%,RENT,1800000%,EDUCATION,1632%,7%,3,708,Yes,0%
25,female,Master,24076800%,200%,MORTGAGE,1200000%,VENTURE,1038%,5%,2,669,Yes,0%
25,male,Associate,24120100%,200%,MORTGAGE,2305000%,PERSONAL,1435%,10%,3,578,No,0%
24,male,Bachelor,24092000%,500%,MORTGAGE,2000000%,DEBTCONSOLIDATION,1101%,8%,3,615,No,0%
24,female,Master,7291900%,100%,RENT,2500000%,DEBTCONSOLIDATION,1101%,34%,2,553,No,100%
21,male,Master,1800800%,0%,OWN,300000%,HOMEIMPROVEMENT,1101%,17%,4,635,No,100%
26,female,Associate,8123800%,300%,RENT,2500000%,PERSONAL,1521%,31%,2,531,No,100%
23,male,High School,8086800%,100%,RENT,2500000%,EDUCATION,790%,31%,4,621,No,100%
24,male,Bachelor,8153700%,100%,RENT,2500000%,VENTURE,1099%,31%,3,674,No,100%
24,female,Associate,8274100%,0%,RENT,2500000%,PERSONAL,1409%,30%,3,688,No,100%
25,female,High School,8390100%,300%,RENT,2500000%,PERSONAL,1749%,30%,2,597,No,100%
25,male,Associate,24071700%,100%,MORTGAGE,1200000%,EDUCATION,1148%,5%,3,640,No,0%
26,female,Associate,22674400%,0%,MORTGAGE,2000000%,VENTURE,1774%,9%,2,621,No,100%
26,female,Bachelor,24111400%,500%,MORTGAGE,300000%,PERSONAL,1392%,1%,3,608,Yes,0%
25,male,Bachelor,8528400%,300%,RENT,2500000%,EDUCATION,1521%,29%,3,653,No,100%
22,female,Bachelor,1815200%,0%,OWN,400000%,MEDICAL,1099%,22%,3,585,No,100%
24,female,High School,8487100%,300%,RENT,2500000%,EDUCATION,1186%,29%,4,569,No,100%
24,male,Bachelor,1829400%,200%,OWN,600000%,PERSONAL,749%,33%,3,587,No,100%
24,male,Bachelor,6802900%,100%,RENT,2500000%,MEDICAL,1649%,37%,4,631,No,100%
25,female,High School,8000100%,400%,RENT,2500000%,VENTURE,1533%,31%,2,592,No,100%
26,female,High School,7987500%,600%,RENT,2500000%,HOMEIMPROVEMENT,1158%,31%,4,679,No,100%
25,male,High School,1844900%,100%,OWN,537500%,EDUCATION,579%,29%,2,645,No,100%
25,male,Associate,8815300%,0%,RENT,2500000%,MEDICAL,1311%,28%,2,669,No,100%
23,female,Bachelor,9010900%,0%,RENT,2500000%,MEDICAL,1036%,28%,3,653,No,100%
25,male,Bachelor,9093800%,100%,RENT,2500000%,DEBTCONSOLIDATION,1036%,27%,2,577,No,100%
24,male,High School,23133500%,0%,RENT,2200000%,MEDICAL,1101%,10%,2,668,Yes,0%
21,male,Bachelor,23182900%,0%,MORTGAGE,2000000%,VENTURE,654%,9%,4,629,No,0%
25,female,Associate,23051600%,400%,MORTGAGE,1000000%,MEDICAL,1253%,4%,4,643,No,0%
26,male,Bachelor,22962600%,0%,MORTGAGE,1500000%,PERSONAL,1101%,7%,3,626,No,0%
22,male,Bachelor,22890700%,0%,MORTGAGE,1000000%,VENTURE,1101%,4%,3,560,Yes,0%
24,male,Bachelor,9093800%,0%,RENT,2500000%,EDUCATION,1025%,27%,4,648,No,100%
22,male,Associate,8628400%,0%,RENT,2500000%,EDUCATION,1595%,29%,4,648,No,100%
26,male,Associate,22877400%,300%,MORTGAGE,2000000%,VENTURE,1218%,9%,4,669,Yes,0%
23,male,High School,22902700%,200%,OWN,2400000%,PERSONAL,1183%,10%,3,536,Yes,0%
23,male,High School,9478900%,100%,RENT,2500000%,DEBTCONSOLIDATION,1101%,26%,2,548,No,100%
23,female,Master,9478000%,0%,RENT,2500000%,VENTURE,1062%,26%,3,667,No,100%
23,male,High School,9529800%,0%,RENT,2500000%,VENTURE,1074%,26%,3,676,No,100%
25,male,Associate,22394400%,100%,OWN,1000000%,VENTURE,1025%,4%,4,570,Yes,0%
24,male,High School,22262900%,0%,MORTGAGE,3500000%,EDUCATION,1242%,16%,2,623,No,0%
25,female,Bachelor,22297300%,200%,RENT,1500000%,VENTURE,1527%,7%,2,652,Yes,0%
24,female,High School,7524000%,100%,RENT,2500000%,MEDICAL,1533%,33%,2,625,No,100%
23,female,High School,9614300%,100%,RENT,2500000%,VENTURE,1521%,26%,2,642,No,100%
21,male,Bachelor,1806400%,0%,OWN,625000%,VENTURE,1472%,35%,2,580,No,100%
24,male,Associate,9662700%,200%,RENT,2500000%,PERSONAL,1570%,26%,2,622,No,100%
24,male,Bachelor,9630900%,300%,RENT,2500000%,EDUCATION,1335%,26%,4,581,No,100%
21,female,High School,1842100%,100%,MORTGAGE,150000%,MEDICAL,1101%,8%,4,623,No,0%
24,male,Master,9683600%,100%,RENT,2500000%,EDUCATION,662%,26%,2,583,No,100%
26,male,Bachelor,9694700%,400%,RENT,2500000%,DEBTCONSOLIDATION,1361%,26%,4,645,No,100%
22,female,Associate,22297500%,200%,RENT,2500000%,MEDICAL,1136%,11%,2,593,Yes,0%
26,male,Associate,22298500%,300%,OWN,500000%,PERSONAL,768%,2%,2,659,Yes,0%
24,female,Bachelor,22306400%,0%,RENT,2200000%,HOMEIMPROVEMENT,1446%,10%,4,655,Yes,0%
23,male,Associate,22155900%,200%,OWN,250000%,EDUCATION,1183%,1%,2,583,Yes,0%
24,female,Associate,20771200%,0%,MORTGAGE,2000000%,DEBTCONSOLIDATION,1347%,10%,4,582,No,100%
24,female,Bachelor,22087200%,100%,MORTGAGE,2000000%,MEDICAL,1149%,9%,3,504,Yes,0%
22,male,High School,22051800%,0%,MORTGAGE,100000%,EDUCATION,1101%,0%,2,551,Yes,0%
25,female,Associate,22051000%,100%,MORTGAGE,1500000%,PERSONAL,603%,7%,3,529,Yes,0%
23,female,Bachelor,8981800%,0%,RENT,2500000%,DEBTCONSOLIDATION,1635%,28%,4,674,No,100%
26,female,High School,9000600%,400%,RENT,2500000%,DEBTCONSOLIDATION,1101%,28%,4,595,No,100%
25,female,High School,9870400%,600%,RENT,2500000%,DEBTCONSOLIDATION,729%,25%,3,597,No,100%
23,male,High School,9896700%,500%,RENT,2500000%,MEDICAL,1136%,25%,3,566,No,100%
24,male,High School,9943500%,300%,RENT,2500000%,VENTURE,1025%,25%,2,666,No,0%
24,female,Bachelor,10065800%,100%,RENT,2500000%,EDUCATION,1112%,25%,3,695,No,0%
24,female,Bachelor,10043500%,200%,RENT,2500000%,PERSONAL,1292%,25%,3,576,Yes,0%
24,male,High School,21692500%,500%,RENT,1800000%,EDUCATION,1864%,8%,4,651,Yes,0%
23,female,Bachelor,21689100%,0%,MORTGAGE,2800000%,PERSONAL,751%,13%,3,633,Yes,0%
23,male,Master,1851200%,100%,OWN,400000%,HOMEIMPROVEMENT,1670%,22%,2,566,No,100%
22,male,Master,1836700%,0%,OWN,210000%,PERSONAL,1114%,11%,4,583,No,0%
22,female,Associate,10231700%,0%,RENT,2500000%,PERSONAL,1830%,24%,4,586,Yes,0%
24,female,Associate,10340000%,400%,RENT,2500000%,MEDICAL,1062%,24%,4,592,Yes,0%
24,male,Bachelor,21713400%,200%,MORTGAGE,1400000%,VENTURE,1199%,6%,2,598,Yes,0%
26,male,Master,21702400%,100%,MORTGAGE,1200000%,VENTURE,963%,6%,4,637,Yes,0%
25,female,High School,17221500%,500%,MORTGAGE,1000000%,MEDICAL,1825%,6%,4,628,No,100%
23,male,Master,1883100%,0%,MORTGAGE,600000%,DEBTCONSOLIDATION,1101%,32%,4,667,No,100%
24,male,Associate,10534900%,500%,RENT,2500000%,HOMEIMPROVEMENT,1484%,24%,3,621,Yes,0%
24,male,Bachelor,9118400%,100%,RENT,2500000%,VENTURE,1470%,27%,3,668,No,100%
23,female,High School,9188600%,100%,RENT,2500000%,DEBTCONSOLIDATION,1602%,27%,4,544,No,100%
23,male,Associate,8045200%,200%,RENT,2500000%,MEDICAL,1537%,31%,2,699,No,100%
25,female,Bachelor,10875800%,200%,RENT,2500000%,MEDICAL,1099%,23%,4,611,No,0%
21,male,Associate,1891600%,0%,OWN,620000%,HOMEIMPROVEMENT,790%,33%,2,615,No,100%
26,female,High School,21723400%,500%,OWN,2500000%,PERSONAL,1099%,12%,4,559,Yes,0%
24,female,High School,21701700%,0%,OWN,2100000%,EDUCATION,1148%,10%,3,577,Yes,0%
25,male,High School,21687400%,100%,OWN,2000000%,MEDICAL,1426%,9%,4,657,Yes,0%
26,male,Associate,21683300%,500%,OWN,1000000%,HOMEIMPROVEMENT,800%,5%,4,676,Yes,0%
25,male,Bachelor,21648300%,0%,MORTGAGE,995000%,VENTURE,1126%,5%,2,601,No,0%
23,female,Master,1900000%,200%,OWN,447500%,MEDICAL,1101%,24%,4,647,No,100%
23,female,Master,9436300%,0%,RENT,2500000%,VENTURE,1632%,26%,3,576,No,100%
